MMSI,BaseDateTime,LAT,LON
368049430,2022-03-31T00:00:05,25.63432,-80.29245
366993420,2022-03-31T00:00:00,29.85241,-90.06285
368060780,2022-03-31T00:00:00,29.85155,-89.62246
367507790,2022-03-31T00:00:01,29.141,-90.21166
316114000,2022-03-31T00:00:02,48.65358,-123.4526
366963150,2022-03-31T00:00:05,38.75763,-85.0219
372089000,2022-03-31T00:00:05,26.25036,-79.80203
374922000,2022-03-31T00:00:03,28.2225,-92.87735
316003895,2022-03-31T00:00:07,49.16282,-122.99371
366999514,2022-03-31T00:00:07,38.783,-90.47868
316022038,2022-03-31T00:00:03,49.28215,-123.27774
367428620,2022-03-31T00:00:07,29.43128,-92.16736
366772760,2022-03-31T00:00:05,47.61997,-122.51309
338142839,2022-03-31T00:00:19,26.28446,-80.08315
319026600,2022-03-31T00:00:04,26.09777,-80.16315
366997830,2022-03-31T00:00:00,29.94588,-90.30542
368555000,2022-03-31T00:00:07,47.63032,-122.38393
636019995,2022-03-31T00:00:03,28.44913,-94.40697
368926043,2022-03-31T00:00:04,41.51911,-90.56347
369285000,2022-03-31T00:00:00,48.22177,-123.62245
368075390,2022-03-31T00:00:00,28.92343,-95.33737
538008693,2022-03-31T00:00:02,28.82796,-94.41424
368138170,2022-03-31T00:00:06,30.35732,-88.50716
316008511,2022-03-31T00:00:05,48.4233,-123.38469
367512340,2022-03-31T00:00:04,29.96618,-90.26717
366822520,2022-03-31T00:00:09,29.46697,-94.96975
228011850,2022-03-31T00:00:13,18.89476,-67.55598
338314744,2022-03-31T00:00:14,48.66592,-123.40583
671087100,2022-03-31T00:00:00,18.4628,-66.10294
367188610,2022-03-31T00:00:00,27.94187,-82.44898
369155000,2022-03-31T00:00:02,29.93494,-90.34372
368351000,2022-03-31T00:00:04,47.2616,-122.43156
367524240,2022-03-31T00:00:04,29.99019,-85.37027
367398920,2022-03-31T00:00:05,29.02103,-89.33943
366967350,2022-03-31T00:00:05,29.99535,-93.94371
368071270,2022-03-31T00:00:02,30.16226,-90.99804
367005190,2022-03-31T00:00:05,29.54438,-90.69993
636019789,2022-03-31T00:00:08,29.73699,-90.00155
368009420,2022-03-31T00:00:02,37.94705,-87.60798
367336380,2022-03-31T00:00:03,26.75925,-79.99191
316011550,2022-03-31T00:00:06,29.31837,-94.6468
367442770,2022-03-31T00:00:10,38.56362,-82.80687
249726000,2022-03-31T00:00:19,46.20673,-123.78923
636019582,2022-03-31T00:00:00,48.29447,-125.33161
367162940,2022-03-31T00:00:00,29.76425,-95.10887
367399880,2022-03-31T00:00:01,35.34547,-94.78561
367199750,2022-03-31T00:00:01,38.25925,-85.75565
367798550,2022-03-31T00:00:02,30.16177,-90.99679
316001268,2022-03-31T00:00:02,48.69046,-123.41308
367712860,2022-03-31T00:00:03,47.52106,-122.30784
338293000,2022-03-31T00:00:04,29.13745,-90.19518
367186630,2022-03-31T00:00:04,29.31422,-94.79276
367740050,2022-03-31T00:00:08,29.37931,-94.87297
367477560,2022-03-31T00:00:08,30.74884,-88.04782
538070791,2022-03-31T00:00:12,17.66856,-67.43176
368217370,2022-03-31T00:00:14,30.07709,-94.07232
367305420,2022-03-31T00:00:06,31.14348,-81.49678
367675880,2022-03-31T00:00:07,27.82004,-97.4747
367336580,2022-03-31T00:00:07,29.74424,-93.86844
311000807,2022-03-31T00:00:16,23.78745,-81.96596
367783120,2022-03-31T00:00:17,29.78126,-92.18557
367156710,2022-03-31T00:00:00,29.13773,-89.24829
367493000,2022-03-31T00:00:02,32.7049,-79.77078
366874920,2022-03-31T00:00:04,29.76433,-95.08525
636017683,2022-03-31T00:00:06,18.36568,-67.6696
367767850,2022-03-31T00:00:08,29.67302,-89.96365
367532880,2022-03-31T00:00:01,38.5387,-90.25049
368090850,2022-03-31T00:00:13,29.16036,-95.13435
367151380,2022-03-31T00:00:05,31.27001,-91.63014
367437430,2022-03-31T00:00:06,29.8145,-93.34797
367433620,2022-03-31T00:00:06,36.96278,-89.09488
316026464,2022-03-31T00:00:04,49.25027,-123.2648
373024000,2022-03-31T00:00:00,48.22301,-123.56792
366889000,2022-03-31T00:00:01,29.314,-94.77927
366996340,2022-03-31T00:00:02,30.06957,-94.04838
367138450,2022-03-31T00:00:06,29.74719,-94.07591
368097190,2022-03-31T00:00:04,28.8773,-95.43285
367603000,2022-03-31T00:00:07,47.66629,-122.39182
367666920,2022-03-31T00:00:08,35.08614,-90.08976
567468000,2022-03-31T00:00:07,48.20072,-123.14723
367537070,2022-03-31T00:00:09,29.82671,-90.00265
367615680,2022-03-31T00:00:07,29.76357,-95.09772
367007750,2022-03-31T00:00:08,29.6552,-90.10821
367155550,2022-03-31T00:00:10,28.41432,-96.46934
368223490,2022-03-31T00:00:00,26.11582,-80.10705
372487000,2022-03-31T00:00:01,27.36976,-93.83789
366772980,2022-03-31T00:00:02,47.9747,-122.34916
367681460,2022-03-31T00:00:05,37.18493,-89.06403
367413270,2022-03-31T00:00:03,29.8834,-90.00155
367502040,2022-03-31T00:00:08,24.56151,-81.80199
367476610,2022-03-31T00:00:00,48.51869,-122.62305
338615000,2022-03-31T00:00:00,29.13398,-90.19379
367437150,2022-03-31T00:00:02,27.8196,-97.47423
367112570,2022-03-31T00:00:04,29.73612,-95.13845
366989830,2022-03-31T00:00:04,38.01787,-90.09441
368043470,2022-03-31T00:00:04,27.88087,-97.27253
367096290,2022-03-31T00:00:08,30.04795,-90.59988
367638090,2022-03-31T00:00:09,34.47622,-90.58709
367114050,2022-03-31T00:00:10,29.77202,-95.10049
636014200,2022-03-31T00:00:16,47.5983,-122.3579
215219000,2022-03-31T00:00:30,33.93368,-76.23495
367468730,2022-03-31T00:00:00,29.43989,-94.83941
367174670,2022-03-31T00:00:05,27.63332,-82.56164
367505050,2022-03-31T00:00:01,28.89549,-95.40372
357444000,2022-03-31T00:00:01,27.50354,-79.06125
367395010,2022-03-31T00:00:01,29.65621,-91.41976
367492110,2022-03-31T00:00:07,29.029,-89.45995
367093520,2022-03-31T00:00:09,30.39294,-81.40505
367538940,2022-03-31T00:00:09,29.57678,-90.60572
367137180,2022-03-31T00:00:09,30.31999,-81.62712
367598280,2022-03-31T00:00:03,26.05485,-97.21264
367684360,2022-03-31T00:00:03,38.75221,-85.03293
366916420,2022-03-31T00:00:01,29.59993,-90.66124
310764000,2022-03-31T00:00:01,29.12376,-89.2624
367450580,2022-03-31T00:00:00,46.1687,-123.91403
367584630,2022-03-31T00:00:05,30.35786,-88.50579
367479080,2022-03-31T00:00:03,29.37075,-94.78503
366998040,2022-03-31T00:00:04,30.10705,-91.31208
367368480,2022-03-31T00:00:07,32.08192,-81.06545
366425240,2022-03-31T00:00:04,48.12346,-123.44399
368136890,2022-03-31T00:00:03,30.25329,-93.24186
367458610,2022-03-31T00:00:09,30.85336,-87.95838
366914430,2022-03-31T00:00:09,21.35928,-157.94236
338760000,2022-03-31T00:00:01,28.45263,-78.4271
367546320,2022-03-31T00:00:01,34.25018,-119.26564
368170890,2022-03-31T00:00:01,29.77227,-95.10053
303668000,2022-03-31T00:00:03,46.48754,-125.63388
367375360,2022-03-31T00:00:03,43.37163,-124.21043
